Product Name,Price,Brand,Links
Solid Men Polo Neck Dark Blue T-Shirt,₹299,AWG,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/awg-solid-men-polo-neck-dark-blue-t-shirt/p/itmb0f104618f2ef?pid=TSHFWDFUTTDCKZFP&lid=LSTTSHFWDFUTTDCKZFPTFJEK4&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_21&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4BpUpGTomqhy6K2USavaAGe%2BeIocH3d8qaUCivkw1bYLA%3D%3D&ssid=jvg08s4qxc0000001653037797570"
"Solid Men Round Neck Black, Silver, Grey T-Shirt",₹349,FTX,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/ftx-solid-men-round-neck-black-silver-grey-t-shirt/p/itmd97bbef0fa3d3?pid=TSHG4BMFZYZGP2UG&lid=LSTTSHG4BMFZYZGP2UGU6QU9I&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_22&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4A4%2FDGxSc%2BVuEClFSpuzJfqcxoeJY5oamhoABhBH4cn4Q%3D%3D&ssid=jvg08s4qxc0000001653037797570"
"Striped Men Round Neck Yellow, Blue, White T-Shirt",₹249,Eyebogler,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/eyebogler-striped-men-round-neck-yellow-blue-white-t-shirt/p/itm3d0922e2b881a?pid=TSHG99G8EMVTMS5T&lid=LSTTSHG99G8EMVTMS5TGB0TBP&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_23&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHG99G8EMVTMS5T.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Color Block Men Round Neck Light Blue, White T-Shirt",₹249,AUSK,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/ausk-color-block-men-round-neck-light-blue-white-t-shirt/p/itm5586bf1ed5cf0?pid=TSHGBKQXPGZHK32A&lid=LSTTSHGBKQXPGZHK32ATABSQH&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_24&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHGBKQXPGZHK32A.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Solid Men Henley Neck Maroon, Dark Blue T-Shirt",₹356,BLIVE,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/blive-solid-men-henley-neck-maroon-dark-blue-t-shirt/p/itm211793992f06b?pid=TSHFVPFKHFZ3ZEPS&lid=LSTTSHFVPFKHFZ3ZEPSS1KJTM&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_25&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFVPFKHFZ3ZEPS.SEARCH&ssid=jvg08s4qxc0000001653037797570"
Color Block Men Round Neck Multicolor T-Shirt,₹348,TRIPR,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/tripr-color-block-men-round-neck-multicolor-t-shirt/p/itm34418eb9040d0?pid=TSHFTNDFARZMGFZF&lid=LSTTSHFTNDFARZMGFZFLICZY1&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_26&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFTNDFARZMGFZF.SEARCH&ssid=jvg08s4qxc0000001653037797570"
"Solid Men Round Neck Black, Light Blue, Grey T-Shirt",₹349,FTX,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/ftx-solid-men-round-neck-black-light-blue-grey-t-shirt/p/itmf25d9cd0d89b1?pid=TSHG4BMYMKYGTHZG&lid=LSTTSHG4BMYMKYGTHZG6MPIIZ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_27&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4BOpY0T7nJKC5JLVCIj833L9kX0Mmv%2F3JrsA4ayvNXypw%3D%3D&ssid=jvg08s4qxc0000001653037797570"
Solid Men Mandarin Collar Yellow T-Shirt,₹339,Urbano Fashion,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/urbano-fashion-solid-men-mandarin-collar-yellow-t-shirt/p/itmc44328aa0a862?pid=TSHFTHCRTAJURY9H&lid=LSTTSHFTHCRTAJURY9HTESUU8&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_28&otracker=browse&iid=en_n97%2BlLGHe9r%2FBHmYp1%2FKfnUbHk%2FuYTcB8QdOk3qgM4BcjtFy6iRUL0on7jBNCxupsCN0Uw%2Fk45wj4Xth95LRVw%3D%3D&ssid=jvg08s4qxc0000001653037797570"
Printed Men Round Neck Yellow T-Shirt,₹159,BLIVE,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/blive-printed-men-round-neck-yellow-t-shirt/p/itm578071f5ac354?pid=TSHGBKQG6BKGUPC8&lid=LSTTSHGBKQG6BKGUPC8UFAIES&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_29&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHGBKQG6BKGUPC8.SEARCH&ssid=jvg08s4qxc0000001653037797570"
Color Block Men Round Neck Multicolor T-Shirt,₹188,TRIPR,"https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo,ash,ank,edy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts/tripr-color-block-men-round-neck-multicolor-t-shirt/p/itm493cac85f6c8f?pid=TSHFUYZ2JEYZFJFC&lid=LSTTSHFUYZ2JEYZFJFCL3I8JL&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_30&otracker=browse&iid=352f977c-0083-4b0c-83d7-0689090f9f6e.TSHFUYZ2JEYZFJFC.SEARCH&ssid=jvg08s4qxc0000001653037797570"
